dataset,surrogate,target,attack,sample_id,success,queries,steps,linf,error
cifar10,resnet18,vgg16,mifgsm,0,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,1,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,2,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,3,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,4,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,5,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,6,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,7,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,8,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,9,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,10,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,11,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,12,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,13,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,14,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,15,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,16,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,17,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,18,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,19,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,20,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,21,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,22,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,23,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,24,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,25,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,26,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,27,False,0,25,0.03137257695198059,
cifar10,resnet18,vgg16,mifgsm,28,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,29,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,30,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,31,False,0,25,0.03137257695198059,
cifar10,resnet18,vgg16,mifgsm,32,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,33,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,34,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,35,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,36,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,37,False,0,25,0.03137257695198059,
cifar10,resnet18,vgg16,mifgsm,38,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,39,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,40,True,0,2,0.01568630337715149,
cifar10,resnet18,vgg16,mifgsm,41,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,42,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,43,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,44,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,45,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,46,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,47,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,48,False,0,25,0.03137257695198059,
