epoch,train_loss,train_acc,test_acc,timestamp
1,1.5428835692596437,0.43754,0.5463,2026-05-18T03:18:17
2,1.1809521900177002,0.57682,0.5015,2026-05-18T03:19:24
3,1.019682882862091,0.63764,0.6658,2026-05-18T03:20:24
4,0.9238939459609985,0.67374,0.5881,2026-05-18T03:21:30
5,0.8495987673568726,0.70012,0.717,2026-05-18T03:22:34
6,0.7949539615631104,0.72176,0.7171,2026-05-18T03:23:35
7,0.7475807641410828,0.73762,0.7158,2026-05-18T03:24:41
8,0.7110800267410279,0.75002,0.7137,2026-05-18T03:25:52
9,0.6702016288757324,0.76356,0.7273,2026-05-18T03:27:06
10,0.6437736276817322,0.7742,0.7319,2026-05-18T03:28:11
