dataset,surrogate,target,attack,sample_id,success,queries,steps,linf,error
cifar10,resnet18,vgg16,mifgsm,0,False,0,15,0.03137257695198059,
cifar10,resnet18,vgg16,mifgsm,1,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,2,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,3,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,4,False,0,15,0.03137257695198059,
cifar10,resnet18,vgg16,mifgsm,5,False,0,15,0.03137257695198059,
cifar10,resnet18,vgg16,mifgsm,6,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,7,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,8,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,9,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,10,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,11,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,12,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,13,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,14,False,0,15,0.03137257695198059,
cifar10,resnet18,vgg16,mifgsm,15,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,16,False,0,15,0.03137257695198059,
cifar10,resnet18,vgg16,mifgsm,17,False,0,15,0.03137257695198059,
cifar10,resnet18,vgg16,mifgsm,18,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,19,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,20,False,0,15,0.03137257695198059,
cifar10,resnet18,vgg16,mifgsm,21,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,22,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,23,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,24,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,25,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,26,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,27,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,28,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,29,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,30,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,31,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,32,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,33,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,34,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,35,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,36,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,37,True,0,1,0.007843151688575745,
cifar10,resnet18,vgg16,mifgsm,38,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,39,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,40,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,41,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,42,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,43,False,0,15,0.03137257695198059,
cifar10,resnet18,vgg16,mifgsm,44,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,45,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,46,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,47,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,48,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,mifgsm,49,True,0,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,0,False,256,15,0.03137257695198059,
cifar10,resnet18,vgg16,nes_only,1,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,2,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,3,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,4,False,256,15,0.03137257695198059,
cifar10,resnet18,vgg16,nes_only,5,False,256,15,0.03137257695198059,
cifar10,resnet18,vgg16,nes_only,6,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,7,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,8,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,9,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,10,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,11,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,12,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,13,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,14,False,256,15,0.03137257695198059,
cifar10,resnet18,vgg16,nes_only,15,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,16,False,256,15,0.03137257695198059,
cifar10,resnet18,vgg16,nes_only,17,False,256,15,0.03137257695198059,
cifar10,resnet18,vgg16,nes_only,18,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,19,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,20,False,256,15,0.03137257695198059,
cifar10,resnet18,vgg16,nes_only,21,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,22,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,23,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,24,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,25,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,26,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,27,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,28,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,29,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,30,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,31,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,32,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,33,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,34,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,35,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,36,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,37,True,17,1,0.007843151688575745,
cifar10,resnet18,vgg16,nes_only,38,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,39,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,40,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,41,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,42,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,43,False,256,15,0.03137257695198059,
cifar10,resnet18,vgg16,nes_only,44,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,45,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,46,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,47,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,48,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,nes_only,49,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,0,False,256,15,0.03137257695198059,
cifar10,resnet18,vgg16,static_hybrid,1,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,2,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,3,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,4,False,256,15,0.03137257695198059,
cifar10,resnet18,vgg16,static_hybrid,5,False,256,15,0.03137257695198059,
cifar10,resnet18,vgg16,static_hybrid,6,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,7,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,8,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,9,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,10,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,11,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,12,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,13,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,14,False,256,15,0.03137257695198059,
cifar10,resnet18,vgg16,static_hybrid,15,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,16,False,256,15,0.03137257695198059,
cifar10,resnet18,vgg16,static_hybrid,17,False,256,15,0.03137257695198059,
cifar10,resnet18,vgg16,static_hybrid,18,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,19,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,20,False,256,15,0.03137257695198059,
cifar10,resnet18,vgg16,static_hybrid,21,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,22,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,23,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,24,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,25,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,26,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,27,True,17,1,0.007843166589736938,
